title,dynasty,first_year,last_year
"保貞(寶正)","吳越",926,931
"光天(光大)","前蜀",918,919
"天授禮法延祚","西夏",1038,1048
"天賜禮盛國慶","西夏",1071,1075
"寶太(寶大)","吳越",924,925
"寶貞(寶正)","吳越",926,931
"廣大(光大)","前蜀",918,919
"中華民國","中華民國",1912,3000
"乃馬真后","蒙古元",1242,1245
"大中祥符","北宋",1008,1016
"天儀治平","西夏",1087,1089
"天冊萬歲","周",695,695
"天安禮定","西夏",1086,1086
"天祐垂聖","西夏",1050,1052
"天祐民安","西夏",1090,1098
"太平真君","北魏",440,451
"太平興國","北宋",976,984
"延嗣寧國","西夏",1049,1049
"建中靖國","北宋",1101,1101
"建武中元","東漢",56,57
"海迷失后","蒙古元",1249,1250
"福聖承道","西夏",1053,1056
"萬歲登封","周",696,696
"萬歲通天","周",696,697
"中大同","南梁",546,547
"中大通","南梁",529,534
"始建國","新朝",9,13
"上元","唐",674,676
"上元","唐",760,762
"中和","唐",881,885
"中平","東漢",184,189
"中平","東漢",189,189
"中統","元",1260,1263
"中興","西燕",386,394
"中興","南齊",501,502
"中興","北魏",531,532
"中興","南唐",958,958
"久視","周",700,700
"乾亨","南漢",917,924
"乾亨","遼",979,982
"乾元","唐",758,760
"乾化","五代後梁",911,915
"乾和","南漢",943,957
"乾定","西夏",1223,1225
"乾寧","唐",894,898
"乾封","唐",666,668
"乾德","前蜀",919,924
"乾德","北宋",963,968
"乾明","北齊",560,560
"乾正","吳",927,928
"乾祐","五代後漢",948,950
"乾祐","西夏",1171,1193
"乾符","唐",874,879
"乾統","遼",1101,1110
"乾興","北宋",1022,1022
"乾貞","吳",927,927
"乾道","西夏",1069,1070
"乾道","南宋",1165,1173
"乾隆","清",1736,1795
"五鳳","西漢",-57,-54
"五鳳","三國吳",254,256
"交泰","南唐",958,960
"人慶","西夏",1144,1148
"仁壽","隋",601,604
"保大","南唐",943,957
"保大","遼",1121,1125
"保定","北周",561,565
"保寧","遼",969,979
"儀鳳","唐",676,679
"元光","西漢",-134,-129
"元光","金",1222,1223
"元初","東漢",114,119
"元和","東漢",84,87
"元和","唐",806,820
"元嘉","東漢",151,152
"元嘉","劉宋",424,453
"元壽","西漢",-2,-1
"元始","西漢",1,5
"元封","西漢",-110,-105
"元平","西漢",-74,-74
"元康","西漢",-65,-62
"元康","西晉",291,299
"元延","西漢",-12,-9
"元德","西夏",1120,1126
"元徽","劉宋",473,477
"元朔","西漢",-128,-123
"元熙","前趙",304,307
"元熙","東晉",419,420
"元狩","西漢",-122,-117
"元璽","前燕",352,356
"元祐","北宋",1086,1094
"元符","北宋",1098,1100
"元統","元",1333,1334
"元興","東漢",105,105
"元興","三國吳",264,265
